###################### UltraGCN ######################
Loading Configuration...
load path = ./lastfm_social_ii_constraint_mat object
load path = ./lastfm_social_ii_neighbor_mat object
load path = ./lastfm_social_uu_constraint_mat object
load path = ./lastfm_social_uu_neighbor_mat object
Load Configuration OK, show them below
Configuration:
{'embedding_dim': 64, 'ii_neighbor_num': 10, 'uu_neighbor_num': 10, 'model_save_path': './ultragcn_lastfm.pt', 'max_epoch': 2000, 'enable_tensorboard': False, 'initial_weight': 0.0001, 'dataset': 'lastfm_social', 'gpu': '0', 'device': device(type='cuda', index=0), 'lr': 0.001, 'batch_size': 1024, 'early_stop_epoch': 15, 'w1': 1e-08, 'w2': 1.0, 'w3': 1e-08, 'w4': 1.0, 'negative_num': 800, 'negative_weight': 300.0, 'gamma': 0.0001, 'lambda': 0.001, 'eta': 0.01, 'sampling_sift_pos': False, 'test_batch_size': 2048, 'topk': 20, 'user_num': 1892, 'item_num': 17632}
Total training batches = 73
The time for epoch 0 is: train time = 00: 00: 08, test time = 00: 00: 01
Loss = 9428.28516, F1-score: 0.064953 	 Precision: 0.04841	 Recall: 0.09865	NDCG: 0.08661
The time for epoch 5 is: train time = 00: 00: 08, test time = 00: 00: 01
Loss = 361.71469, F1-score: 0.066215 	 Precision: 0.04921	 Recall: 0.10119	NDCG: 0.09083
The time for epoch 10 is: train time = 00: 00: 08, test time = 00: 00: 01
Loss = 266.95950, F1-score: 0.066944 	 Precision: 0.04974	 Recall: 0.10236	NDCG: 0.09156
The time for epoch 15 is: train time = 00: 00: 08, test time = 00: 00: 01
Loss = 201.64172, F1-score: 0.067646 	 Precision: 0.05029	 Recall: 0.10329	NDCG: 0.09453
The time for epoch 20 is: train time = 00: 00: 08, test time = 00: 00: 01
Loss = 193.83069, F1-score: 0.066502 	 Precision: 0.04947	 Recall: 0.10141	NDCG: 0.09366
The time for epoch 25 is: train time = 00: 00: 08, test time = 00: 00: 01
Loss = 173.75716, F1-score: 0.067533 	 Precision: 0.05018	 Recall: 0.10321	NDCG: 0.09447
The time for epoch 30 is: train time = 00: 00: 08, test time = 00: 00: 01
Loss = 183.79248, F1-score: 0.066779 	 Precision: 0.04968	 Recall: 0.10181	NDCG: 0.09379
The time for epoch 35 is: train time = 00: 00: 08, test time = 00: 00: 01
Loss = 195.59280, F1-score: 0.067288 	 Precision: 0.05003	 Recall: 0.10274	NDCG: 0.09376
