###################### UltraGCN ######################
Loading Configuration...
load path = ./lastfm_social_ii_constraint_mat object
load path = ./lastfm_social_ii_neighbor_mat object
load path = ./lastfm_social_uu_constraint_mat object
load path = ./lastfm_social_uu_neighbor_mat object
Load Configuration OK, show them below
Configuration:
{'embedding_dim': 64, 'ii_neighbor_num': 10, 'uu_neighbor_num': 10, 'model_save_path': './ultragcn_lastfm.pt', 'max_epoch': 2000, 'enable_tensorboard': False, 'initial_weight': 0.0001, 'dataset': 'lastfm_social', 'gpu': '0', 'device': device(type='cuda', index=0), 'lr': 0.001, 'batch_size': 1024, 'early_stop_epoch': 15, 'w1': 1e-08, 'w2': 1.0, 'w3': 1e-08, 'w4': 1.0, 'negative_num': 800, 'negative_weight': 300.0, 'gamma': 0.0001, 'lambda': 0.001, 'eta': 0.01, 'sampling_sift_pos': False, 'test_batch_size': 2048, 'topk': 20, 'user_num': 1892, 'item_num': 17632}
Total training batches = 73
The time for epoch 0 is: train time = 00: 00: 08, test time = 00: 00: 01
Loss = 9419.82129, F1-score: 0.064255 	 Precision: 0.04778	 Recall: 0.09807	NDCG: 0.08869
The time for epoch 5 is: train time = 00: 00: 08, test time = 00: 00: 01
Loss = 360.68878, F1-score: 0.066752 	 Precision: 0.04960	 Recall: 0.10202	NDCG: 0.09106
The time for epoch 10 is: train time = 00: 00: 08, test time = 00: 00: 01
Loss = 232.10089, F1-score: 0.065517 	 Precision: 0.04873	 Recall: 0.09994	NDCG: 0.09241
The time for epoch 15 is: train time = 00: 00: 08, test time = 00: 00: 01
Loss = 184.80872, F1-score: 0.067484 	 Precision: 0.05016	 Recall: 0.10309	NDCG: 0.09372
The time for epoch 20 is: train time = 00: 00: 08, test time = 00: 00: 01
Loss = 182.04297, F1-score: 0.067262 	 Precision: 0.05000	 Recall: 0.10273	NDCG: 0.09302
The time for epoch 25 is: train time = 00: 00: 08, test time = 00: 00: 01
Loss = 188.49579, F1-score: 0.066333 	 Precision: 0.04934	 Recall: 0.10118	NDCG: 0.09254
The time for epoch 30 is: train time = 00: 00: 08, test time = 00: 00: 01
Loss = 186.65433, F1-score: 0.066920 	 Precision: 0.04976	 Recall: 0.10214	NDCG: 0.09515
The time for epoch 35 is: train time = 00: 00: 08, test time = 00: 00: 01
Loss = 180.18665, F1-score: 0.066805 	 Precision: 0.04968	 Recall: 0.10193	NDCG: 0.09383
