###################### UltraGCN ######################
Loading Configuration...
Load Configuration OK, show them below
Configuration:
{'embedding_dim': 64, 'ii_neighbor_num': 10, 'uu_neighbor_num': 10, 'model_save_path': './ultragcn_ciao.pt', 'max_epoch': 150, 'enable_tensorboard': False, 'initial_weight': 0.0001, 'dataset': 'ciao_social', 'gpu': '0', 'device': device(type='cuda', index=0), 'lr': 0.001, 'batch_size': 1024, 'early_stop_epoch': 15, 'w1': 1e-08, 'w2': 1.0, 'w3': 1.0, 'w4': 1e-08, 'negative_num': 800, 'negative_weight': 300.0, 'gamma': 0.0001, 'lambda': 0.0, 'eta': 0.0, 'sampling_sift_pos': False, 'test_batch_size': 2048, 'topk': 20, 'user_num': 7375, 'item_num': 105114}
Total training batches = 222
The time for epoch 0 is: train time = 00: 00: 19, test time = 00: 00: 07
Loss = 707.71289, F1-score: 0.000032     Precision: 0.00003      Recall: 0.00004        NDCG: 0.00003
The time for epoch 5 is: train time = 00: 00: 18, test time = 00: 00: 07
Loss = 92.68732, F1-score: 0.019210      Precision: 0.01300      Recall: 0.03675        NDCG: 0.03004
The time for epoch 10 is: train time = 00: 00: 19, test time = 00: 00: 08
Loss = 106.31095, F1-score: 0.019090     Precision: 0.01287      Recall: 0.03691        NDCG: 0.02953
The time for epoch 15 is: train time = 00: 00: 19, test time = 00: 00: 08
Loss = 113.49207, F1-score: 0.019034     Precision: 0.01287      Recall: 0.03655        NDCG: 0.02978
The time for epoch 20 is: train time = 00: 00: 19, test time = 00: 00: 07
Loss = 118.50106, F1-score: 0.018968     Precision: 0.01281      Recall: 0.03650        NDCG: 0.02957
The time for epoch 25 is: train time = 00: 00: 18, test time = 00: 00: 07
Loss = 117.08132, F1-score: 0.018770     Precision: 0.01267      Recall: 0.03619        NDCG: 0.02908
The time for epoch 30 is: train time = 00: 00: 19, test time = 00: 00: 08
Loss = 111.39673, F1-score: 0.018743     Precision: 0.01260      Recall: 0.03655        NDCG: 0.02924
The time for epoch 35 is: train time = 00: 00: 20, test time = 00: 00: 08
Loss = 103.50784, F1-score: 0.018312     Precision: 0.01233      Recall: 0.03555        NDCG: 0.02902
The time for epoch 40 is: train time = 00: 00: 21, test time = 00: 00: 08
Loss = 100.87434, F1-score: 0.018467     Precision: 0.01245      Recall: 0.03570        NDCG: 0.02856
The time for epoch 45 is: train time = 00: 00: 18, test time = 00: 00: 07
Loss = 91.63557, F1-score: 0.017982      Precision: 0.01208      Recall: 0.03515        NDCG: 0.02878
