###################### UltraGCN ######################
Loading Configuration...
Load Configuration OK, show them below
Configuration:
{'embedding_dim': 64, 'ii_neighbor_num': 10, 'uu_neighbor_num': 10, 'model_save_path': './ultragcn_ciao.pt', 'max_epoch': 150, 'enable_tensorboard': False, 'initial_weight': 0.0001, 'dataset': 'ciao_social', 'gpu': '0', 'device': device(type='cuda', index=0), 'lr': 0.001, 'batch_size': 1024, 'early_stop_epoch': 15, 'w1': 1e-08, 'w2': 1.0, 'w3': 1.0, 'w4': 1e-08, 'negative_num': 800, 'negative_weight': 300.0, 'gamma': 0.0001, 'lambda': 0.0, 'eta': 0.0, 'sampling_sift_pos': False, 'test_batch_size': 2048, 'topk': 20, 'user_num': 7375, 'item_num': 105114}
Total training batches = 222
The time for epoch 0 is: train time = 00: 00: 18, test time = 00: 00: 08
Loss = 957.84894, F1-score: 0.000026     Precision: 0.00003      Recall: 0.00002        NDCG: 0.00004
The time for epoch 5 is: train time = 00: 00: 18, test time = 00: 00: 07
Loss = 96.34160, F1-score: 0.019219      Precision: 0.01302      Recall: 0.03666        NDCG: 0.03013
The time for epoch 10 is: train time = 00: 00: 19, test time = 00: 00: 08
Loss = 107.97513, F1-score: 0.019195     Precision: 0.01296      Recall: 0.03697        NDCG: 0.02975
The time for epoch 15 is: train time = 00: 00: 18, test time = 00: 00: 07
Loss = 115.48114, F1-score: 0.018930     Precision: 0.01278      Recall: 0.03649        NDCG: 0.03009
The time for epoch 20 is: train time = 00: 00: 18, test time = 00: 00: 07
Loss = 115.32304, F1-score: 0.018779     Precision: 0.01266      Recall: 0.03637        NDCG: 0.02985
The time for epoch 25 is: train time = 00: 00: 18, test time = 00: 00: 07
Loss = 120.77625, F1-score: 0.018759     Precision: 0.01262      Recall: 0.03649        NDCG: 0.02960
The time for epoch 30 is: train time = 00: 00: 18, test time = 00: 00: 07
Loss = 115.65018, F1-score: 0.018660     Precision: 0.01256      Recall: 0.03632        NDCG: 0.02946
The time for epoch 35 is: train time = 00: 00: 19, test time = 00: 00: 07
Loss = 105.44520, F1-score: 0.018668     Precision: 0.01256      Recall: 0.03637        NDCG: 0.02828
The time for epoch 40 is: train time = 00: 00: 18, test time = 00: 00: 08
Loss = 102.62386, F1-score: 0.018631     Precision: 0.01256      Recall: 0.03610        NDCG: 0.02921
The time for epoch 45 is: train time = 00: 00: 18, test time = 00: 00: 07
Loss = 94.66286, F1-score: 0.017824      Precision: 0.01199      Recall: 0.03469        NDCG: 0.02843
